e ɪ̯	A
s iː z ə n d	s e a s o n e d
s iː z n̩ z	s e a s o n s
s iː s t ɛ d ɪ ŋ	s e a s t e a d i n g
s iː s t ɔː m	s e a s t o r m
s iː t	s e a t
s iː t e ɪ n ə	s e a t a i n e r
s iː t b ɛ l t	s e a t b e l t
s iː t ɪ d	s e a t e d
s iː t ɪ ŋ	s e a t i n g
s iː t s	s e a t s
s iː v	s e a v e
s iː w ə ɹ d	s e a w a r d
s iː w ɛ ə ɹ	s e a w a r e
s iː w iː d	s e a w e e d
s iː w a ɪ f	s e a w i f e
s iː w ʊ m ə n	s e a w o m a n
s iː w ɜː ð i	s e a w o r t h y
s e ɪ æ k s	s e a x
s iː k s	s e a x
s ɪ b ɛ s t ə n	s e b e s t e n
s ə b ɪ f ɪ k	s e b i f i c
s ɛ b k ə	s e b k h a
s i b m̩	s e b u m
s ɛ k	s e c
s iː k ə n t	s e c a n t
s ɛ k ə t ɜː z	s e c a t e u r s
s ɛ k ə t ɪ ə z	s e c a t e u r s
s ɪ s iː d	s e c e d e
s ɪ s ɜː n	s e c e r n
s ə s ɛ ʃ ə n	s e c e s s i o n
s ɛ t ʃ	s e c h
ʃ ɛ k	s e c h
s ɛ k ə t ə ɹ i	s e c k e t a r y
s ə k l uː d	s e c l u d e
s ə k l uː d ɪ d	s e c l u d e d
s ə k l uː ʒ ə n	s e c l u s i o n
s ə k ɒ n d	s e c o n d
s ɛ k ə n d	s e c o n d
s ɛ k ə n d ə ɹ ɪ	s e c o n d a r y
s ə k ɒ n d iː	s e c o n d e e
s ɛ k ə n d l i	s e c o n d l y
s ə k ɒ n d m ə n t	s e c o n d m e n t
s ɛ k ə n d z	s e c o n d s
s iː k ɹ ə s i	s e c r e c y
s iː k ɹ ɪ t	s e c r e t
s ɪ k ɹ iː t ə ɡ ɒ ɡ	s e c r e t a g o g u e
s ɛ k ɹ ə t ɛ ə ɹ ɪ ə t	s e c r e t a r i a t
s ɛ k ɹ ə t ə ɹ i	s e c r e t a r y
s ɛ k ɹ ə t ɹ i	s e c r e t a r y
s ɪ k ɹ iː t	s e c r e t e
s iː k ɹ ə t ɪ d	s e c r e t e d
s ɪ k ɹ iː t ɪ d	s e c r e t e d
s iː k ɹ ə t ɪ ŋ	s e c r e t i n g
s ɪ k ɹ iː t ɪ ŋ	s e c r e t i n g
s iː k ɹ ɪ t ɪ v	s e c r e t i v e
s ə k ɹ iː t ɪ v	s e c r e t i v e
s iː k ɹ ɪ t l i	s e c r e t l y
s ɪ k ɹ iː t ə ɹ iː	s e c r e t o r y
s iː k ɹ ɪ t s	s e c r e t s
s iː k ɹ ə t ɪ d	s e c r e t t e d
s iː k ɹ ə t ɪ ŋ	s e c r e t t i n g
s ɛ k s	s e c s
s ɛ k t	s e c t
s ɛ k t ɛ ə ɹ i ə n	s e c t a r i a n
s ɛ k t ɛ ɹ i ə n ɪ z ə m	s e c t a r i a n i s m
s ɛ k t e ɪ t ə	s e c t a t o r
s ɛ k ʃ ə n	s e c t i o n
s ɛ k ʃ ə n ə l	s e c t i o n a l
s ɛ k t ɪ ʃ	s e c t i s h
s ɛ k j ʊ l ə	s e c u l a r
s ɛ k j ʊ l ə ɹ ɪ z ə m	s e c u l a r i s m
s iː k ə n d	s e c u n d
s ə k j ɔː ɹ	s e c u r e
s ə k j ʊ ə ɹ	s e c u r e
s ə k j ɔː d	s e c u r e d
s ə k j ʊ ə d	s e c u r e d
s ə k j ɔː l i	s e c u r e l y
s ə k j ʊ ə l i	s e c u r e l y
s ə k j ɔː ɹ ɪ ŋ	s e c u r i n g
s ə k j ʊ ə ɹ ɪ ŋ	s e c u r i n g
s ɪ k j ʊ ə ɹ ɪ t ʌ ɪ z e ɪ ʃ ə n	s e c u r i t i z a t i o n
s ɪ k j ɔː ɹ ə t i	s e c u r i t y
s ɪ k j ʊ ə ɹ ə t i	s e c u r i t y
s ə d æ n	s e d a n
s ɪ d e ɪ t	s e d a t e
s ɛ d ə t ɪ v	s e d a t i v e
s iː d	s e d e
s iː d ɛ k j uː p ə l	s e d e c u p l e
s ɛ d ə n t ə ɹ i	s e d e n t a r y
s ɛ d ə n t ɹ i	s e d e n t a r y
s e ɪ d ə	s e d e r
s ɪ d ɪ ə ɹ ə n t	s e d e r u n t
s iː d z	s e d e s
s ɛ d ɪ v e ɪ k ə n t ɪ z ə m	s e d e v a c a n t i s m
s ɛ d ɪ v e ɪ k ə n t ɪ s t	s e d e v a c a n t i s t
s ɛ d͡ʒ	s e d g e
s ɛ d ɪ m ə n t	s e d i m e n t
s ɛ d ə m ɛ n t ə ɹ i	s e d i m e n t a r y
s ɛ d ə m ɛ n t ɹ i	s e d i m e n t a r y
s ɛ d ɪ m ɛ n t ə m ɛ t r ɪ k	s e d i m e n t o m e t r i c
s ɛ d ɪ ʃ ə n	s e d i t i o n
s ə d ɪ ʃ ə s	s e d i t i o u s
s ɪ d j uː s	s e d u c e
s ɪ d ʌ k ʃ n̩	s e d u c t i o n
s ɪ d ʌ k t ɪ v	s e d u c t i v e
s ɛ d͡ʒ ʊ l ə s	s e d u l o u s
s iː	s e e
s i ə b l̩	s e e a b l e
s iː d	s e e d
s iː d i n ə s	s e e d i n e s s
s iː d ɪ ŋ	s e e d i n g
s iː d l ɪ ŋ	s e e d l i n g
s iː d z	s e e d s
s iː d s n a ɪ p	s e e d s n i p e
s iː d t a ɪ m	s e e d t i m e
s iː d i	s e e d y
s iː ɪ ŋ	s e e i n g
s iː k	s e e k
s iː k ə	s e e k e r
s iː k ɪ ŋ	s e e k i n g
s iː k s	s e e k s
s iː l	s e e l
s iː m	s e e m
s iː m d	s e e m e d
s iː m ə ɹ	s e e m e r
s iː m ɪ ŋ	s e e m i n g
s iː m ɪ ŋ l i	s e e m i n g l y
s iː m l i	s e e m l y
s iː m z	s e e m s
s iː n	s e e n
s iː p	s e e p
s iː ə ɹ	s e e r
s ɪ ə ɹ	s e e r
s ɪ ə ɹ p ɔː	s e e r p a w
s ɪ ə s ʌ k ə	s e e r s u c k e r
s iː z	s e e s
s iː s ɔː	s e e s a w
s iː ð	s e e t h e
s iː ð ə ɹ	s e e t h e r
s iː ð ɪ ŋ	s e e t h i n g
s ɛ f ɪ ɹ ɑː	s e f i r a
s ɛ f ɪ ɹ ɑː	s e f i r a h
s ɛ ɡ	s e g
s ɛ ɡ m ə n t	s e g m e n t
s ɛ ɡ m ɛ n t	s e g m e n t
s ɛ ɡ m ɛ n t ə l	s e g m e n t a l
s ɛ ɡ m ɛ n t ɪ ŋ	s e g m e n t i n g
s e ɪ ɡ o ʊ l	s e g o l
s ɛ ɡ o ʊ l	s e g o l
s ɛ ɡ o ʊ l e ɪ t	s e g o l a t e
s ɛ ɡ ə l ə t	s e g o l a t e
s ɛ ɡ ɹ i ə n t	s e g r e a n t
s ɛ ɡ ɹ ə ɡ e ɪ t	s e g r e g a t e
s ɛ ɡ ɹ ə ɡ ə t	s e g r e g a t e
s ɛ ɡ ɹ ə ɡ e ɪ̯ ʃ ə n	s e g r e g a t i o n
s ɛ ɡ w e ɪ	s e g u e
s ɛ ɡ w e ɪ ɪ ŋ	s e g u e i n g
s e ɪ	s e i
s e ɪ ʃ	s e i c h e
z a ɪ d ə l	s e i d e l
s ɛ n j ɜ	s e i g n e u r
s e ɪ n j ə	s e i g n i o r
s e ɪ n j ə ɹ ɪ d͡ʒ	s e i g n i o r a g e
s e ɪ n j ə ɹ ə l	s e i g n i o r a l
s iː n j ə ɹ i	s e i g n i o r y
s e ɪ n	s e i n e
s a ɪ s ə m	s e i s m
s a ɪ z ə m	s e i s m
s a ɪ z m ɪ k	s e i s m i c
s a ɪ z m ə ɡ ɹ æ f	s e i s m o g r a p h
s a ɪ s m ɒ l ə d͡ʒ i	s e i s m o l o g y
s a ɪ z m ɒ l ə d͡ʒ i	s e i s m o l o g y
s e ɪ t æ n	s e i t a n
s e ɪ t ɑː n	s e i t a n
s e ɪ t ə n	s e i t a n
s e ɪ t æ n ɪ k	s e i t a n i c
s iː ɪ t i	s e i t y
s e ɪ j uː	s e i y u u
s iː z	s e i z e
s iː z d	s e i z e d
s iː z ə	s e i z e r
s i z ɪ ŋ	s e i z i n g
s i z j ʊ ɚ	s e i z u r e
s iː ʒ ə ɹ	s e i z u r e
s i d ʒ ə n t	s e j a n t
s ɪ d͡ʒ ʌ ŋ k t	s e j u n c t
s ɪ l e ɪ k ɪ ə n	s e l a c h i a n
s iː l ə	s e l a h
s ɛ l b ɹ iː	s e l b r i
s ɛ l k uː θ	s e l c o u t h
s ɛ l d ə m	s e l d o m
s iː l	s e l e
s ɪ l ɛ k t	s e l e c t
s ɪ l ɛ k t ə b l̩	s e l e c t a b l e
s ɪ l ɛ k t ɪ d	s e l e c t e d
s ə l ɛ k ʃ ə n	s e l e c t i o n
s ə l ɛ k t ɪ v	s e l e c t i v e
s ɪ l ɛ k t ə ɹ	s e l e c t o r
s ɛ l ɪ n a ɪ t	s e l e n i t e
s ə l iː n i ə m	s e l e n i u m
s ɪ l iː n i ə m	s e l e n i u m
s ɛ l ɪ n ɒ l ə t ɹ i	s e l e n o l a t r y
s ɛ l iː n ɒ l ə d͡ʒ ɪ	s e l e n o l o g y
s ɛ l ɪ t ɹ æ s ɪ t æ m	s e l e t r a c e t a m
s ɛ l f	s e l f
s ɛ l f b ə ʊ	s e l f b o w
s ɛ l f i	s e l f i e
s ɛ l f ɪ ʃ	s e l f i s h
s ɛ l f ɪ ʃ n ə s	s e l f i s h n e s s
s ɛ l f l i	s e l f l y
s ɛ l f s e ɪ m	s e l f s a m e
s ɛ l f s ʌ m	s e l f s o m e
s ɛ l ɪ s ɪ k l ɪ b	s e l i c i c l i b
s ɛ l	s e l l
s ɛ l ə b ə l	s e l l a b l e
s ɛ l ə	s e l l e r
s ɛ l ə z	s e l l e r s
s ɛ l ɪ ŋ	s e l l i n g
s ɛ l o ʊ	s e l l o
s ɛ l ə t e ɪ p	s e l l o t a p e
s ɛ l z	s e l l s
s ɛ l i	s e l l y
s ɛ l v ə	s e l v a
s ɛ l v ɪ d͡ʒ	s e l v a g e
s ɛ m	s e m
s ɪ m æ n t ɪ k	s e m a n t i c
s ɪ m æ n t ɪ k s	s e m a n t i c s
s ɪ m æ n t ə ɡ ɹ æ m	s e m a n t o g r a m
s ɪ m æ n t ə ɡ ɹ ɑː f	s e m a n t o g r a p h
s ɛ m ə f ɔː	s e m a p h o r e
s iː m e ɪ s ɪ ɒ l ə d͡ʒ ɪ	s e m a s i o l o g y
s ɛ m b l ə b ə l	s e m b l a b l e
s ɛ m b l ə n s	s e m b l a n c e
s ɛ m b l ə n t	s e m b l a n t
s ɛ m b ə l	s e m b l e
s iː m	s e m e
s ɪ m a ɪ ɒ n	s e m e i o n
s ɛ m ə l p ə r ə s	s e m e l p a r o u s
s ɛ m iː m	s e m e m e
s iː m ə n	s e m e n
s iː m z	s e m e s
s ɪ m iː s	s e m e s e
s ɪ m ɛ s t ə	s e m e s t e r
s ɛ m i	s e m i
s i m ɪ k	s e m i c
s ɛ m ɪ s ɛ n t ə n ɛː r ɪ ə n	s e m i c e n t e n a r i a n
s ɛ m ɪ s n t iː n r i	s e m i c e n t e n a r y
s ɛ m ɪ s n t iː n ə r i	s e m i c e n t e n a r y
s ɛ m ɪ s n t ɛ n r i	s e m i c e n t e n a r y
s ɛ m ɪ s n t ɛ n ə r i	s e m i c e n t e n a r y
s ɛ m ɪ s ə n t iː n r i	s e m i c e n t e n a r y
s ɛ m ɪ s ə n t iː n ə r i	s e m i c e n t e n a r y
s ɛ m ɪ s ə n t ɛ n r i	s e m i c e n t e n a r y
s ɛ m ɪ s ə n t ɛ n ə r i	s e m i c e n t e n a r y
s ɛ m ɪ s ɛ n t iː n r i	s e m i c e n t e n a r y
s ɛ m ɪ s ɛ n t iː n ə r i	s e m i c e n t e n a r y
s ɛ m ɪ s ɛ n t ɛ n r i	s e m i c e n t e n a r y
s ɛ m ɪ s ɛ n t ɛ n ə r i	s e m i c e n t e n a r y
s ɛ m ɪ s ɛ n t ɛ n ɪ ə l	s e m i c e n t e n n i a l
s ɛ m i k ə ʊ l ə n	s e m i c o l o n
s ɛ m i f a k t ʃ ə l	s e m i f a c t u a l
s ɛ m i f a k t ʃ ʊ l	s e m i f a c t u a l
s ɛ m i f a k t ʃ ʊ ə l	s e m i f a c t u a l
s ɛ m i f a ɪ n ə l ɪ s t	s e m i f i n a l i s t
s ɛ m ɪ f ɔː m l	s e m i f o r m a l
s ɛ m i m ə n æ s t ɪ k	s e m i m o n a s t i c
s ɛ m ɪ n ə l	s e m i n a l
s ɛ m ɪ n ɑː	s e m i n a r
s ɛ m ɪ n ə ɹ i	s e m i n a r y
s ɛ m ɪ n ɹ i	s e m i n a r y
s ɛ m ɪ n e ɪ t	s e m i n a t e
s ɛ m ɪ n d	s e m i n e d
s iː m ɪ ŋ	s e m i n g
s i m a ɪ ɒ l ə d͡ʒ ɪ s t	s e m i o l o g i s t
s ɛ m a ɪ ɒ l ə d͡ʒ ɪ s t	s e m i o l o g i s t
s ɛ m iː ɒ t ɪ k	s e m i o t i c
s ɛ m i ɒ t ɪ k s	s e m i o t i c s
s ɛ m i p ɜː ɹ m i ə b ə l	s e m i p e r m e a b l e
s ɛ m iː z	s e m i s
s ɛ m ɪ s	s e m i s
s ɛ m i t o ʊ n	s e m i t o n e
s ɛ m l ə	s e m l a
s ɛ m ə l iː n ə	s e m o l i n a
s iː m ɒ n	s e m o n
s ə m ɔː d n ɪ l æ p	s e m o r d n i l a p
s ɛ m p a ɪ	s e m p a i
s ɛ m p ə ɹ æ n j uː ə l	s e m p e r a n n u a l
s ɛ m p ə ɡ ɹ iː n	s e m p e r g r e e n
s ɛ m p ə ɹ a ɪ d ɛ n t ɪ k ə l	s e m p e r i d e n t i c a l
s ɛ m p ə d ʒ uː v ɪ n ɛ s ə n t	s e m p e r j u v e n e s c e n t
s ɛ m p ə l ɛ n ɪ t ɪ	s e m p e r l e n i t y
s ɛ m p ə v a ɪ ɹ ə n t	s e m p e r v i r e n t
s ɛ m p ɪ t ɜː n ə l	s e m p i t e r n a l
s ɛ m p ɪ t ɜː n ə t i	s e m p i t e r n i t y
s ɛ m p s t ɹ ɪ s	s e m p s t r e s s
s ɛ m t ɛ k s	s e m t e x
s ɛ m ə s t iː n	s e m u s t i n e
s ɛ n	s e n
s iː n ə ɹ i	s e n a r y
s ɛ n ɪ t	s e n a t e
s ɛ n ə t ə	s e n a t o r
s ɛ n ə t ə z	s e n a t o r s
s ɛ n t͡ʃ ə	s e n c h a
s ɛ n d	s e n d
s ɛ n d ɚ	s e n d e r
s ɛ n d ɪ ŋ	s e n d i n g
s ɛ n d z	s e n d s
s ə n ɛ s	s e n e s c e
s ə n ɛ s ə n s	s e n e s c e n c e
s ɪ n ɛ s ə n s	s e n e s c e n c e
s ɛ n ə ʃ ə l	s e n e s c h a l
s ɛ n ɛ k s	s e n e x
s ɛ ŋ ɡ i	s e n g i
s ɪ n j ɔː ɹ	s e n h o r
s iː n a ɪ l	s e n i l e
s iː n a ɪ l l i	s e n i l e l y
s i n a ɪ l ɪ z ə m	s e n i l i s m
s ə n ɪ l ɪ t i	s e n i l i t y
s iː n j ə r	s e n i o r
s i n j ɚ a ɪ t ɪ s	s e n i o r i t i s
s iː n ɪ ɒ ɹ ɪ t i	s e n i o r i t y
s iː n j ə r m o ʊ s t	s e n i o r m o s t
s ɛ n ɪ t	s e n n e t
s ɛ n a ɪ t	s e n n i g h t
s ɛ n ɪ m ə n t	s e n n i m e n t
s iː n ɒ k j ʊ l ə ɹ	s e n o c u l a r
s ɛ m p a ɪ	s e n p a i
s ɛ n p a ɪ	s e n p a i
s ɛ n s e ɪ t	s e n s a t e
s ɛ n s e ɪ ʃ ə n	s e n s a t i o n
s ɛ n s e ɪ ʃ ə n z	s e n s a t i o n s
s ɛ n t s	s e n s e
s ɛ n s f ʊ l	s e n s e f u l
s ɛ n s e ɪ	s e n s e i
s ɛ n s l ə s	s e n s e l e s s
s ɛ n s ə	s e n s e r
s ɛ n s ɪ z	s e n s e s
s ɛ n s iː	s e n s i
s ɛ n s ɪ b ɪ l ɪ t i	s e n s i b i l i t y
s ɛ n s ɪ b ə l	s e n s i b l e
s ɛ n s ə b l i	s e n s i b l y
s ɛ n s ɪ k l̩	s e n s i c a l
s ɛ n s ɪ f a s i ə n t	s e n s i f a c i e n t
s ɛ n s ɪ t ɪ v	s e n s i t i v e
s ɛ n s ɪ t ɪ v ɪ t i	s e n s i t i v i t y
s ɛ n s ɪ v ə t i	s e n s i t i v i t y
s ɛ n s ə	s e n s o r
s ɛ n s ɔː ɹ i ə l	s e n s o r i a l
s ɛ n s ɔː ɹ i ə l i	s e n s o r i a l l y
s ɛ n s ɔː ɹ i ə m	s e n s o r i u m
s ɛ n s ə ɹ i	s e n s o r y
s ɛ n s j uː ə l	s e n s u a l
s ɛ n ʃ uː ə l	s e n s u a l
s ɛ n ʃ u ə s	s e n s u o u s
s ɛ n s j uː ə s n ə s	s e n s u o u s n e s s
s ɛ n t	s e n t
s ɛ n t ə n s	s e n t e n c e
s ɛ n t ə n s t	s e n t e n c e d
s ɛ n t ə n s ɪ z	s e n t e n c e s
s ɛ n t ɛ n ʃ ə s	s e n t e n t i o u s
s ɛ n t i ə n s	s e n t i e n c e
s ɛ n ʃ i ə n s	s e n t i e n c e
s ɛ n ʃ ə n s	s e n t i e n c e
s ɛ n t i ə n t	s e n t i e n t
s ɛ n t ɪ m ə n t	s e n t i m e n t
s ɛ n t i m ɛ n t l̩	s e n t i m e n t a l
s ɛ n t ɪ m ə n t s	s e n t i m e n t s
s ɛ n t ɪ n ə l	s e n t i n e l
s ɛ n t ɹ i	s e n t r y
s ɛ m v i	s e n v y
s ɛ n v i	s e n v y
s iː p ə l	s e p a l
s ɛ p ə l	s e p a l
s ɛ p ə ɹ e ɪ t	s e p a r a t e
s ɛ p ə ɹ ə t	s e p a r a t e
s ɛ p ɹ ə t	s e p a r a t e
s ɛ p ə ɹ e ɪ t ɪ d	s e p a r a t e d
s ɛ p ə ɹ ə t l i	s e p a r a t e l y
s ɛ p ɹ ə t l i	s e p a r a t e l y
s ɛ p ə ɹ e ɪ t ɪ ŋ	s e p a r a t i n g
s ɛ p ə ɹ e ɪ ʃ ə n	s e p a r a t i o n
s ɛ p ə ɹ ə t ɪ s t	s e p a r a t i s t
s ɛ p ə ɹ e ɪ t ɪ v	s e p a r a t i v e
s ɛ p ə ɹ ə t ɪ v	s e p a r a t i v e
s ɛ p ə ɹ e ɪ t ɹ ɪ k s	s e p a r a t r i x
s ɛ p ə ɹ e ɪ t ə m	s e p a r a t u m
s ɛ p ə ɹ ɑː t ə m	s e p a r a t u m
s ɛ f ɪ ɹ ɑː	s e p h i r a
s ɛ f ɪ ɹ ɑː	s e p h i r a h
s ɛ f ɪ ɹ ə ʊ θ	s e p h i r o t h
s iː p i ə n	s e p i a n
s iː p ɪ k	s e p i c
s iː p ɔ ɪ	s e p o y
s ɛ p uː k uː	s e p p u k u
s ɛ p s ɪ s	s e p s i s
s ɛ p t	s e p t
s ɛ p t ɪ d͡ʒ	s e p t a g e
s ɛ p t l̩	s e p t a l
s ɛ p t ə l	s e p t a l
s ɛ p t ɛ m p ɑː t a ɪ t	s e p t e m p a r t i t e
s ɛ p t ɛ m v ə ɹ	s e p t e m v i r
s ɛ p t ɛ m v ɪ ə ɹ	s e p t e m v i r
s ɛ p t iː n ə ɹ i	s e p t e n a r y
s ɛ p t ə n d ə s ɪ l i ə n	s e p t e n d e c i l l i o n
s ɛ p t ɛ n ɪ ə m	s e p t e n n i u m
s ɛ p t ɛ n t ɹ ɪ ə n ə l	s e p t e n t r i o n a l
s ɛ p t ɛ t	s e p t e t
s ɛ p t ɪ k	s e p t i c
s ɛ p t ɪ s iː m ɪ k	s e p t i c a e m i c
s ɛ p t ɪ m e ɪ t	s e p t i m a t e
s ɛ p t ɪ m ə t	s e p t i m a t e
s ɛ p t ɪ m e ɪ ʃ ə n	s e p t i m a t i o n
s ɛ p t j ʊ ə d͡ʒ ɪ n ɛ ə ɹ ɪ ə n	s e p t u a g e n a r i a n
s ɛ p t ʃ ə d͡ʒ ɪ n ɛ ə ɹ ɪ ə n	s e p t u a g e n a r i a n
s ɛ p t ʃ ʊ ə d͡ʒ ɪ n ɛ ə ɹ ɪ ə n	s e p t u a g e n a r i a n
s ɛ p t j ʊ ə d ʒ iː n r i	s e p t u a g e n a r y
s ɛ p t j ʊ ə d ʒ iː n ə r i	s e p t u a g e n a r y
s ɛ p t j ʊ ə d ʒ ɛ n r i	s e p t u a g e n a r y
s ɛ p t j ʊ ə d ʒ ɛ n ə r i	s e p t u a g e n a r y
s ɛ p t ʃ ʊ ə d ʒ iː n r i	s e p t u a g e n a r y
s ɛ p t ʃ ʊ ə d ʒ iː n ə r i	s e p t u a g e n a r y
s ɛ p t ʃ ʊ ə d ʒ ɛ n r i	s e p t u a g e n a r y
s ɛ p t ʃ ʊ ə d ʒ ɛ n ə r i	s e p t u a g e n a r y
s ɛ p t j u ə d͡ʒ ɛ s ɪ m ə l	s e p t u a g e s i m a l
s ɛ p t j ʊ ə d͡ʒ ɪ n t	s e p t u a g i n t
s ɛ p t ʃ ʊ ə d͡ʒ ɪ n t	s e p t u a g i n t
s ɛ p t ə m	s e p t u m
s ə p ʊ l k ɹ ə l	s e p u l c h r a l
s ə p ʌ l k ɹ ə l	s e p u l c h r a l
s ɛ p ə l k ə	s e p u l c h r e
s ɪ k w e ɪ ʃ ə s	s e q u a c i o u s
s iː k w ə l	s e q u e l
s ɪ k w iː l iː	s e q u e l a
s ɪ k w iː l ə	s e q u e l a
s ɪ k w iː l iː	s e q u e l a e
s iː k w ə n s	s e q u e n c e
s iː k w ə n t	s e q u e n t
s ə k w ɛ s t ə	s e q u e s t e r
s ɪ k w ɛ s t ə	s e q u e s t e r
s iː k w ə s t ɹ e ɪ t	s e q u e s t r a t e
s iː k w ə s t ɹ e ɪ t ə ɹ	s e q u e s t r a t o r
s iː k w ɪ n	s e q u i n
s iː k w ɪ n d	s e q u i n e d
s ə k w ɔ ɪ ə	s e q u o i a
s ɛ k w ʊ n t ʊ ə	s e q u u n t u r
s ɛ ɹ æ k	s e r a c
s ə ɹ a ɪ	s e r a i
s ɛ ɹ ɑː p e ɪ	s e r a p e
s ɛ ɹ ə f	s e r a p h
s ə ɹ æ f ɪ k	s e r a p h i c
s ɪ ə	s e r e
s ɛ ɹ ə n e ɪ d	s e r e n a d e
s ɛ ɹ ə n d ɪ p ɪ t ə s	s e r e n d i p i t o u s
s ɛ ɹ ɛ n d ɪ p ɪ t ə s	s e r e n d i p i t o u s
s ɛ ɹ ə n d ɪ p ɪ t i	s e r e n d i p i t y
s ɛ ɹ ɛ n d ɪ p ɪ t i	s e r e n d i p i t y
s ə ɹ iː n	s e r e n e
s ə ɹ ɛ n ɪ t i	s e r e n i t y
s ɜː f	s e r f
s ɜː f d ə m	s e r f d o m
s ɜː d͡ʒ	s e r g e
s ɑː d͡ʒ ə n t	s e r g e a n t
s ɪ ə ɹ ɪ ə l	s e r i a l
s ɪ ə ɹ i ə l a ɪ z	s e r i a l i z e
s ɛ ɹ ɪ e ɪ t ɪ m	s e r i a t i m
s ɪ ə ɹ ɪ e ɪ t ɪ m	s e r i a t i m
s ɛ ɹ ɪ k	s e r i c
s ɛ ɹ ɪ k ʌ l t ʃ ə	s e r i c u l t u r e
s ɛ ɹ ɪ iː m ə	s e r i e m a
s ɪ ə ɹ iː z	s e r i e s
s ə ɹ iː f	s e r i f
s ɛ ɹ ɪ f	s e r i f
s ɛ ɹ ɪ n	s e r i n
s ɪ ə ɹ i ə ʊ k ɒ m ɪ k ə l	s e r i o c o m i c a l
s ɪ ə ɹ i ə s	s e r i o u s
s ɪː ɹ i ə s	s e r i o u s
s ɪ ə ɹ ɪ ə s ə ɹ	s e r i o u s e r
s ɪ ə ɹ i ə s l i	s e r i o u s l y
s ɪ ə ɹ ə s l i	s e r i o u s l y
s ɪ ə ɹ i ə s n ə s	s e r i o u s n e s s
s ɜː ɹ m ɒ s ɪ n e ɪ t ə ɹ	s e r m o c i n a t o r
s ɜː m ə n	s e r m o n
s ɜː m a ʊ n t ɪ n	s e r m o u n t a i n
s ɪ ə ɹ ə ʊ d ɪ s k l ə ʊ ʒ ə ɹ	s e r o d i s c l o s u r e
s ɪ ɹ ə ʊ s ə l	s e r o s a l
s ɛ ɹ ə t a ɪ n ə l	s e r o t i n a l
s ɪ ɹ ɒ t ɪ n ə l	s e r o t i n a l
s ɛ ɹ ə t a ɪ n	s e r o t i n e
s ɪ ɹ ɒ t ɪ n ə s	s e r o t i n o u s
s ɛ r ə t ə n ɜː r d͡ʒ ɪ k	s e r o t o n e r g i c
s ɛ ɹ ə t ə ʊ n ɪ n	s e r o t o n i n
s ɛ ɹ ə ʊ	s e r o w
s ɜː p ə n t	s e r p e n t
s ɜː p ə n t a ɪ n	s e r p e n t i n e
s ɜː ɹ p ɪ t	s e r p e t
s ɜː ɹ p ɛ t	s e r p e t t e
s ə ɹ ɑː n ə ʊ	s e r r a n o
s ɛ ə ɹ f iː n	s e r r e f i n e
s ɛ ə ɹ ə f iː n	s e r r e f i n e
s ɛ ɹ ə s	s e r r o u s
s ɜː t ə k ɒ n ə z ə ʊ l	s e r t a c o n a z o l e
s iː ɹ ə m	s e r u m
s ɪ ə ɹ ə m	s e r u m
s ɜː v ɪ d͡ʒ	s e r v a g e
s ɜː v ə l	s e r v a l
s ɜː v ə n t	s e r v a n t
s ɜː v ə n t s	s e r v a n t s
s ɜː v	s e r v e
s ɜː v d	s e r v e d
s ɜː v ə	s e r v e r
s ɜː v z	s e r v e s
s ɜː v ɪ s	s e r v i c e
s ɜː ɹ v ɪ s ə b ɪ l ɪ t i	s e r v i c e a b i l i t y
s ɜː v ɪ s ə b l̩	s e r v i c e a b l e
s ɜː v ɪ s t	s e r v i c e d
s ɜː v ɪ s ɪ z	s e r v i c e s
s ɜː v ɪ s w ʊ m ə n	s e r v i c e w o m a n
s ɜː ɹ v i ə n t	s e r v i e n t
s ɜː v i ɛ t	s e r v i e t t e
s ɜː ɹ v a ɪ l	s e r v i l e
s ɜː v a ɪ l l i	s e r v i l e l y
s ə v ɪ l ɪ t i	s e r v i l i t y
s ɜː v ɪ l ɪ t i	s e r v i l i t y
s ɜː v ɪ ŋ	s e r v i n g
s ɜ ɹ v ɪ t ɔ ɹ	s e r v i t o r
s ɜ ɹ v ɪ t ə ɹ	s e r v i t o r
s ɜː v ɪ t ʃ uː d	s e r v i t u d e
s ɜː v ə ʊ	s e r v o
s ɛ ɹ ɪ l	s e r y l
s ɛ s ə m i	s e s a m e
s ɛ z ə m i	s e s a m e
s ɛ ʃ	s e s h
s ɛ ʃ i	s e s h y
s ɛ s k w ɪ a l t ə	s e s q u i a l t e r
s ɛ s k w ɪ a l t ə r ə	s e s q u i a l t e r a
s ɛ s k w ɪ a l t ə r ə l	s e s q u i a l t e r a l
s ɛ s k w ɪ ɑ l t ə r ə n	s e s q u i a l t e r a n
s ɛ s k w ɪ a l t ə r ə t	s e s q u i a l t e r a t e
s ɛ s k w ɪ a l t ə r ə s	s e s q u i a l t e r o u s
s ɛ s k w ɪ s ɛ n t ɛ n i ə l	s e s q u i c e n t e n n i a l
s ɛ s k w i ɒ k t ɪ v	s e s q u i o c t a v e
s ɛ s k w ɪ p ɪ d e ɪ l ɪ ə n	s e s q u i p e d a l i a n
s ɛ z k w ɪ p ə d ɛ l i ə n ɪ s m̩	s e s q u i p e d a l i a n i s m
s ɛ s k w ɪ p ɪ d æ l ə t i	s e s q u i p e d a l i t y
